20200101	1	1	8471
20200101	1	2	8501
20200101	2	1	6442
20200101	2	2	6464
20200101	3	1	107
20200101	3	2	108
20200101	4	1	59
20200101	4	2	59
20200101	5	1	1595
20200101	5	2	1600
20200102	1	1	8500
20200102	1	2	8543
20200102	2	1	6464
20200102	2	2	6496
20200102	3	1	108
20200102	3	2	109
20200102	4	1	59
20200102	4	2	60	
20200102	5	1	1604
20200102	5	2	1612
20200103	1	1	8461
20200103	1	2	8500
20200103	2	1	6471
20200103	2	2	6499
20200103	3	1	108
20200103	3	2	109
20200103	4	1	60
20200103	4	2	60
20200103	5	1	1599
20200103	5	2	1606
20200104	1	1	8461
20200104	1	2	8500
20200104	2	1	6471
20200104	2	2	6499
20200104	3	1	108
20200104	3	2	109
20200104	4	1	60
20200104	4	2	60
20200104	5	1	1599
20200104	5	2	1606
20200105	1	1	8461
20200105	1	2	8500
20200105	2	1	6471
20200105	2	2	6499
20200105	3	1	108
20200105	3	2	109
20200105	4	1	60
20200105	4	2	60
20200105	5	1	1599
20200105	5	2	1606
20200106	1	1	8547
20200106	1	2	8570
20200106	2	1	6497
20200106	2	2	6514
20200106	3	1	109
20200106	3	2	109
20200106	4	1	60
20200106	4	2	60
20200106	5	1	1601
20200106	5	2	1605
20200107	1	1	8542
20200107	1	2	8556
20200107	2	1	6511
20200107	2	2	6521
20200107	3	1	109
20200107	3	2	109
20200107	4	1	60
20200107	4	2	60
20200107	5	1	1592
20200107	5	2	1595
20200108	1	1	8547
20200108	1	2	8558
20200108	2	1	6510
20200108	2	2	6518
20200108	3	1	109
20200108	3	2	109
20200108	4	1	60
20200108	4	2	60
20200108	5	1	1599
20200108	5	2	1602
20200109	1	1	8473
20200109	1	2	8507
20200109	2	1	6492
20200109	2	2	6518
20200109	3	1	109	 	  	 	   	  	    	     	 	  	 	
