001	1	20201702	00010	84000
001	1	20201702	00010	84000
001	1	20201702	00011	128000
001	1	20201704	00010	145000
001	1	20201704	00012	84000
001	1	20201704	00013	84000
001	1	20201707	00011	128000
001	1	20201707	00012	145000
001	1	20201708	00013	84000
001	1	20201711	00011	128000
001	2	20201712	00011	128000
001	2	20201712	00015	95000
002	3	20201705	00016	190000
002	3	20201707	00017	164000
002	4	20201708	00018	264000
003	5	20201702	00020	84000
003	5	20201703	00020	128000
003	5	20201710	00021	128000
003	6	20201711	00022	145000
003	1	20201712	00023	170000
