7208,01022021,3,728,1000000
7209,01022021,3,217,635000
7211,01022021,3,566,300000
7213,01022021,3,527,200000
7214,01022021,3,546,500000
7215,01022021,3,872,100000
7216,01022021,3,1217,100000
7217,01022021,3,470,300000
66109,02022021,1,1591,3000000
66110,02022021,1,578,3000000
66111,02022021,1,493,419000
66112,02022021,1,1054,200000
66113,02022021,1,704,1000000
66114,02022021,1,1327,500000
66115,02022021,1,380,300000
66116,02022021,1,493,281000
66117,02022021,1,1354,1000000
66118,02022021,1,1528,160000
66119,02022021,1,775,700000
66120,02022021,1,490,500000
66121,02022021,1,389,250000
66122,02022021,1,1528,40000
66123,02022021,1,1189,300000
66124,02022021,1,549,700000
66125,02022021,1,415,500000
66126,02022021,1,415,300000
66127,02022021,1,739,300000
66128,02022021,1,312,500000
66129,02022021,1,312,500000
66130,02022021,1,574,200000
66131,02022021,1,857,300000
66132,02022021,1,1561,200000
66133,02022021,1,1539,150000
66134,02022021,1,802,200000
66135,02022021,1,1286,230000
66136,02022021,1,763,45000
66140,02022021,1,205,150000
66141,02022021,1,698,300000
66142,02022021,1,122,800000
66143,02022021,1,607,250000
66144,02022021,1,1352,200000
66145,02022021,1,452,400000
66146,02022021,1,472,200000
66147,02022021,1,292,252500
66148,02022021,1,1398,100000
66149,02022021,1,670,100000
66150,02022021,1,781,200000
66151,02022021,1,767,200000
66152,02022021,1,977,130000
66153,02022021,1,1397,194000
66154,02022021,1,743,500000
66155,02022021,1,743,500000
66156,02022021,1,1537,5000000
66157,02022021,1,713,500000
66158,02022021,1,1128,4000000
66159,02022021,1,514,600000
66160,02022021,1,1429,600000
66161,02022021,1,988,400000
66162,02022021,1,516,500000
66163,02022021,1,1041,150000
66164,02022021,1,99,1000860
66165,02022021,1,55,300000
66166,02022021,1,299,3801564
66107,02022021,2,1265,250000
66108,02022021,2,1318,356000
66137,02022021,2,1117,250000
66138,02022021,2,386,1000000
66139,02022021,2,939,3000000
66109,02022021,3,1591,3000000
66110,02022021,3,578,3000000
66111,02022021,3,493,419000
66112,02022021,3,1054,200000
66113,02022021,3,704,1000000
66114,02022021,3,1327,500000
66115,02022021,3,380,300000
66116,02022021,3,493,281000
66117,02022021,3,1354,1000000
66118,02022021,3,1528,160000
66119,02022021,3,775,700000
66120,02022021,3,490,500000
66121,02022021,3,389,250000
66122,02022021,3,1528,40000
66123,02022021,3,1189,300000
66124,02022021,3,549,700000
66125,02022021,3,415,500000
66126,02022021,3,415,300000
66127,02022021,3,739,300000
66128,02022021,3,312,500000
66129,02022021,3,312,500000
66130,02022021,3,574,200000
66131,02022021,3,857,300000
66132,02022021,3,1561,200000
66133,02022021,3,1539,150000
66134,02022021,3,802,200000
66135,02022021,3,1286,230000
66136,02022021,3,763,45000
66140,02022021,3,205,150000
66141,02022021,3,698,300000
66142,02022021,3,122,800000
66143,02022021,3,607,250000
66144,02022021,3,1352,200000
66145,02022021,3,452,400000
66146,02022021,3,472,200000
66147,02022021,3,292,252500
66148,02022021,3,1398,100000
66149,02022021,3,670,100000
66150,02022021,3,781,200000
66151,02022021,3,767,200000
66152,02022021,3,977,130000
66153,02022021,3,1397,194000
66154,02022021,3,743,500000
66155,02022021,3,743,500000
66156,02022021,3,1537,5000000
66157,02022021,3,713,500000
