1,2,CMN,1850
1,4,CMN,1617
1,16,OMN,1371
1,19,CMA,1645
1,20,MIN,1042
1,21,COC,1721
1,22,MIN,1289
1,23,CMN,1648
2,14,CTA,1174
2,15,OMN,1088
2,19,CTA,1935
3,1,CTA,1807
3,5,MIN,1033
3,8,CMN,1955
3,10,OMN,1733
3,12,CMN,1762
3,18,MIN,1410
3,21,COC,1038
3,29,CTA,1421
4,17,MIN,1625
4,24,COC,1871
5,1,MIN,1444
5,3,CMA,1989
5,15,CMN,1464
5,17,CTA,1206
5,18,MIN,1428
5,27,CMA,1116
6,10,CMN,1491
6,10,CTA,1006
6,11,CMN,1393
6,11,COC,1612
6,12,CTA,1615
6,25,MIN,1280
7,4,COC,1242
7,10,CTA,1456
7,18,CMA,1519
8,6,COC,1296
8,9,CMN,1120
8,14,COC,1967
8,17,CMA,1011
8,23,OMN,1817
8,24,MIN,1309
9,7,CMA,1612
9,9,CMN,1744
9,10,OMN,1429
9,17,CMA,1677
9,24,COC,1588
10,7,CTA,1663
10,7,MIN,1347
10,7,OMN,1541
10,14,COC,1850
10,15,MIN,1805
10,17,CTA,1343
10,27,CMA,1121
10,28,CMN,1516
11,6,MIN,1690
11,20,CMN,1486
11,20,COC,1899
11,30,COC,1167
12,3,CMN,1934
12,4,COC,1866
12,8,CMA,1739
12,12,OMN,1489
12,15,CTA,1136
12,16,OMN,1746
12,17,CMN,1781
12,22,COC,1438
12,30,COC,1370
